,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,SEASON_ID
0,1630639,A.J. Lawson,A.J.,1610612742,DAL,22.0,1,1,0,1.0,1.8,40.0,40.0,40.0,131.6,140.0,140.0,-91.6,-100.0,-100.0,0.0,0.0,0.0,0.0,0.333,0.167,0.0,0.0,1.0,1.0,0.167,0.2,140.2,135.85,113.21,135.85,0.235,5,1,1,1.0,1.0,1.0,20,20,1,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,2,1,1,1,1,9,7,1,1,1,1,20,20,19,20,1,2022-23
1,1630162,Anthony Edwards,Anthony,1610612750,MIN,21.0,79,40,39,0.506,36.0,111.7,113.8,113.8,110.5,111.9,111.9,1.2,1.9,1.9,0.192,1.35,15.1,0.017,0.139,0.079,11.2,11.1,0.528,0.564,0.292,0.298,103.42,101.77,84.81,101.77,0.125,6016,707,1541,8.9,19.5,0.459,1,2,20,10,1,8,6,6,6,10,10,8,7,7,6,13,11,14,7,9,13,13,14,15,1,1,14,15,15,4,1,1,1,1,13,2022-23
2,203085,Austin Rivers,Austin,1610612750,MIN,30.0,52,25,27,0.481,19.5,109.7,109.8,109.8,114.7,114.8,114.8,-5.0,-4.9,-4.9,0.095,3.26,23.1,0.005,0.078,0.042,7.1,7.1,0.538,0.564,0.104,0.107,102.58,102.46,85.39,102.46,0.05,2154,91,209,1.8,4.0,0.435,9,9,13,15,9,15,14,14,16,16,16,17,17,17,12,3,6,19,16,18,6,6,13,14,20,20,16,14,14,19,11,11,13,13,15,2022-23
3,1627854,Bryn Forbes,Bryn,1610612750,MIN,29.0,25,9,16,0.36,10.7,108.8,107.8,107.8,115.9,116.2,116.2,-7.1,-8.5,-8.5,0.087,1.42,14.4,0.015,0.04,0.027,10.2,10.1,0.446,0.497,0.155,0.161,103.52,103.9,86.58,103.9,0.035,580,30,83,1.2,3.3,0.361,15,18,9,20,14,17,18,18,18,18,18,18,18,18,14,12,13,16,20,20,10,10,19,19,15,14,13,12,12,20,16,15,16,15,20,2022-23
4,1626156,D'Angelo Russell,D'Angelo,1610612747,LAL,27.0,54,27,27,0.5,32.9,110.3,111.6,111.6,111.5,113.2,113.2,-1.2,-1.6,-1.6,0.274,2.27,26.1,0.016,0.075,0.047,11.5,11.5,0.567,0.604,0.225,0.229,102.96,101.57,84.64,101.57,0.114,3763,338,727,6.3,13.5,0.465,7,8,13,11,3,12,10,10,10,12,12,13,13,13,1,7,4,15,17,16,16,15,9,10,6,6,15,17,17,6,4,2,3,3,11,2022-23
5,1630183,Jaden McDaniels,Jaden,1610612750,MIN,22.0,79,41,38,0.519,30.6,112.3,113.6,113.6,110.2,111.6,111.6,2.0,2.0,2.0,0.082,1.32,14.3,0.039,0.086,0.063,10.8,10.8,0.591,0.611,0.156,0.159,102.45,101.2,84.34,101.2,0.069,5080,370,716,4.7,9.1,0.517,1,1,19,7,6,6,7,7,5,7,7,4,5,5,15,14,14,7,14,11,12,12,6,8,14,15,17,18,18,14,2,3,5,6,6,2022-23
6,1629669,Jaylen Nowell,Jaylen,1610612750,MIN,23.0,65,34,31,0.523,19.3,110.8,111.2,111.2,111.3,111.3,111.3,-0.5,0.0,0.0,0.156,2.03,15.3,0.028,0.107,0.067,7.6,7.5,0.502,0.527,0.238,0.246,105.23,105.04,87.53,105.04,0.095,2736,280,625,4.3,9.6,0.448,6,4,15,5,10,11,11,11,9,6,6,12,12,12,8,9,10,9,10,10,7,7,17,16,5,5,8,9,9,11,6,4,8,5,14,2022-23
7,1629162,Jordan McLaughlin,Jordan,1610612750,MIN,27.0,43,22,21,0.512,15.8,111.2,111.7,111.7,105.9,105.9,105.9,5.4,5.8,5.8,0.264,4.48,44.3,0.022,0.065,0.044,9.9,9.9,0.503,0.526,0.112,0.114,106.75,106.51,88.76,106.51,0.086,1504,61,145,1.4,3.4,0.421,10,10,11,9,12,9,9,9,1,1,1,3,2,2,2,1,1,11,18,17,9,9,16,17,19,19,3,4,4,12,13,12,14,14,17,2022-23
8,1631169,Josh Minott,Josh,1610612750,MIN,20.0,15,7,8,0.467,6.4,119.8,116.3,116.3,108.7,105.9,105.9,11.2,10.4,10.4,0.065,1.67,10.4,0.054,0.194,0.128,6.3,6.3,0.528,0.582,0.176,0.184,106.95,109.99,91.66,109.99,0.106,221,18,36,1.2,2.4,0.5,19,19,2,18,18,3,3,3,2,2,2,1,1,1,18,10,16,5,4,5,4,4,15,13,8,8,2,2,2,9,18,19,16,17,8,2022-23
9,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,27.0,29,15,14,0.517,33.0,110.0,111.2,111.2,108.8,109.4,109.4,1.2,1.8,1.8,0.225,1.63,19.6,0.05,0.181,0.118,12.1,12.1,0.565,0.618,0.25,0.253,103.53,102.72,85.6,102.72,0.138,2049,212,428,7.3,14.8,0.495,12,13,8,8,2,14,12,12,3,3,3,9,8,8,3,11,7,6,5,6,17,17,10,6,2,3,12,13,13,2,8,8,2,2,9,2022-23
10,203937,Kyle Anderson,Kyle,1610612750,MIN,29.0,69,36,33,0.522,28.4,113.0,113.9,113.9,111.0,111.7,111.7,2.0,2.3,2.3,0.225,3.25,33.8,0.035,0.152,0.095,10.4,10.4,0.553,0.583,0.143,0.145,102.41,101.66,84.72,101.66,0.108,4143,252,495,3.7,7.2,0.509,4,3,16,6,7,5,5,5,8,8,8,5,4,4,4,4,2,8,6,7,11,11,12,12,17,18,18,16,16,8,7,7,9,9,7,2022-23
11,1630568,Luka Garza,Luka,1610612750,MIN,24.0,28,15,13,0.536,8.7,121.8,121.4,121.4,120.6,119.4,119.4,1.2,2.0,2.0,0.103,1.29,10.5,0.13,0.128,0.129,8.2,8.2,0.603,0.652,0.245,0.254,105.74,106.48,88.74,106.48,0.111,543,63,116,2.3,4.1,0.543,14,13,6,4,15,2,1,1,19,19,19,7,6,6,10,15,15,1,8,4,8,8,4,4,3,2,5,5,5,7,12,14,11,12,4,2022-23
12,1630346,Matt Ryan,Matt,1610612750,MIN,26.0,22,10,12,0.455,8.2,122.3,120.1,120.1,115.5,115.2,115.2,6.7,4.9,4.9,0.081,3.0,15.4,0.012,0.053,0.034,5.1,5.1,0.585,0.604,0.147,0.153,105.41,106.47,88.72,106.47,0.059,402,25,59,1.1,2.7,0.424,18,17,3,19,16,1,2,2,17,17,17,2,3,3,16,6,9,18,19,19,2,2,7,9,16,16,6,6,6,18,17,17,18,16,16,2022-23
13,201144,Mike Conley,Mike,1610612750,MIN,35.0,24,12,12,0.5,31.4,113.7,115.3,115.3,112.8,113.7,113.7,1.0,1.5,1.5,0.214,4.14,29.1,0.021,0.078,0.05,7.0,7.0,0.583,0.631,0.165,0.17,101.14,100.04,83.37,100.04,0.105,1572,108,235,4.5,9.8,0.46,16,15,3,11,4,4,4,4,13,15,15,10,9,9,5,2,3,12,15,15,5,5,8,5,12,12,20,20,20,10,10,10,7,4,12,2022-23
14,1630233,Nathan Knight,Nathan,1610612750,MIN,25.0,38,19,19,0.5,7.7,110.9,109.6,109.6,112.6,111.9,111.9,-1.7,-2.3,-2.3,0.065,0.62,9.2,0.072,0.118,0.094,14.9,15.0,0.617,0.655,0.177,0.183,105.28,106.24,88.53,106.24,0.076,646,46,81,1.2,2.1,0.568,11,11,10,11,17,10,16,16,11,9,9,14,14,14,17,19,19,3,9,8,20,20,3,3,7,9,7,7,7,13,15,16,15,18,3,2022-23
15,1629675,Naz Reid,Naz,1610612750,MIN,23.0,68,32,36,0.471,18.4,108.7,109.2,109.2,112.8,113.3,113.3,-4.0,-4.2,-4.2,0.098,0.84,9.6,0.058,0.205,0.132,11.5,11.5,0.602,0.617,0.242,0.248,104.87,104.39,86.99,104.39,0.122,2714,310,577,4.6,8.5,0.537,5,6,17,17,11,18,17,17,12,14,14,16,16,16,11,17,18,4,3,3,15,16,5,7,4,4,10,10,10,5,5,5,6,7,5,2022-23
16,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,24.0,23,11,12,0.478,15.5,110.2,109.6,109.6,113.3,113.3,113.3,-3.1,-3.7,-3.7,0.119,3.2,18.3,0.019,0.095,0.057,5.7,5.7,0.488,0.503,0.167,0.174,103.71,104.01,86.68,104.01,0.06,769,48,125,2.1,5.4,0.384,17,16,3,16,13,13,15,15,14,13,13,15,15,15,9,5,8,13,12,12,3,3,18,18,9,10,11,11,11,16,14,13,12,11,19,2022-23
17,203497,Rudy Gobert,Rudy,1610612750,MIN,31.0,70,34,36,0.486,30.7,109.4,110.8,110.8,109.4,110.3,110.3,0.0,0.4,0.4,0.058,0.71,9.6,0.111,0.26,0.188,13.5,13.5,0.659,0.675,0.161,0.164,101.34,100.29,83.58,100.29,0.137,4477,360,546,5.1,7.8,0.659,3,4,17,14,5,16,13,13,4,4,4,11,11,11,19,18,17,2,2,1,19,19,2,2,13,13,19,19,19,3,3,6,4,8,2,2022-23
18,1627752,Taurean Prince,Taurean,1610612750,MIN,29.0,54,31,23,0.574,22.1,112.0,111.9,111.9,110.6,111.0,111.0,1.4,0.9,0.9,0.094,1.22,15.0,0.013,0.096,0.055,12.3,12.2,0.565,0.597,0.165,0.171,105.21,105.09,87.58,105.09,0.065,2600,177,379,3.3,7.0,0.467,7,7,12,2,8,7,8,8,7,5,5,6,10,10,13,16,12,17,11,14,18,18,11,11,11,11,9,8,8,15,9,9,10,10,10,2022-23
19,1631111,Wendell Moore Jr.,Wendell,1610612750,MIN,21.0,29,16,13,0.552,5.3,103.9,99.4,99.4,113.8,112.9,112.9,-9.9,-13.5,-13.5,0.162,2.25,25.4,0.025,0.086,0.056,11.3,11.2,0.442,0.465,0.139,0.148,105.77,108.48,90.4,108.48,0.06,342,18,43,0.6,1.5,0.419,12,12,6,3,19,19,19,19,15,11,11,19,19,19,7,8,5,10,13,13,14,14,20,20,18,17,4,3,3,17,18,18,20,19,18,2022-23
0,1630162,Anthony Edwards,Anthony,1610612750,MIN,20.0,72,39,33,0.542,34.2,112.6,114.6,114.6,109.6,110.6,110.6,3.1,4.0,4.0,0.173,1.45,15.0,0.023,0.113,0.067,10.4,10.4,0.527,0.56,0.262,0.265,102.54,101.18,84.31,101.18,0.111,5189,549,1245,7.6,17.3,0.441,5,7,15,16,1,4,3,3,12,12,12,7,4,4,8,9,9,11,11,12,10,10,11,9,2,2,15,16,16,5,2,1,2,1,10,2021-22
1,1629735,Chris Silva,Chris,1610612748,MIA,25.0,1,1,0,1.0,3.5,75.0,75.0,75.0,154.6,150.0,150.0,-79.6,-75.0,-75.0,0.0,0.0,0.0,0.0,0.5,0.143,0.0,0.0,0.0,0.0,0.0,0.0,109.27,110.93,92.44,110.93,0.048,8,0,0,0.0,0.0,0.0,18,17,1,1,18,18,18,18,18,18,18,18,18,18,18,18,18,17,1,3,1,1,18,18,18,18,1,1,1,17,18,18,18,18,18,2021-22
2,1626156,D'Angelo Russell,D'Angelo,1610612750,MIN,26.0,65,39,26,0.6,31.9,112.4,114.5,114.5,109.2,109.8,109.8,3.2,4.7,4.7,0.32,2.79,27.0,0.011,0.089,0.05,9.7,9.7,0.502,0.544,0.246,0.25,103.59,102.39,85.32,102.39,0.114,4431,401,975,6.2,15.0,0.411,8,7,9,2,3,5,5,5,8,9,9,5,3,3,1,5,5,16,15,16,6,6,13,11,3,3,11,14,14,4,3,3,3,3,12,2021-22
3,202328,Greg Monroe,Greg,1610612750,MIN,32.0,4,1,3,0.25,20.4,111.3,110.3,110.3,109.4,110.8,110.8,1.8,-0.5,-0.5,0.271,2.29,33.3,0.069,0.191,0.133,14.6,14.6,0.591,0.578,0.16,0.168,103.6,103.4,86.17,103.4,0.133,175,13,22,3.3,5.5,0.591,17,17,3,18,8,8,10,10,11,13,13,10,14,14,2,7,3,5,4,5,18,18,2,8,9,9,10,10,10,2,16,16,6,10,2,2021-22
4,1630183,Jaden McDaniels,Jaden,1610612750,MIN,21.0,70,40,30,0.571,25.8,108.0,109.9,109.9,108.4,109.3,109.3,-0.5,0.6,0.6,0.063,1.05,10.8,0.038,0.115,0.075,10.2,10.1,0.532,0.553,0.149,0.153,103.82,102.49,85.41,102.49,0.061,3840,255,554,3.6,7.9,0.46,6,5,13,11,4,13,11,11,5,7,7,14,12,12,16,15,15,9,10,9,9,9,9,10,12,12,7,13,13,14,5,5,5,5,8,2021-22
5,1627774,Jake Layman,Jake,1610612750,MIN,28.0,34,20,14,0.588,6.8,107.6,105.3,105.3,109.8,108.7,108.7,-2.2,-3.4,-3.4,0.055,0.9,9.0,0.025,0.123,0.074,10.0,10.0,0.466,0.5,0.16,0.166,103.73,105.34,87.78,105.34,0.064,509,30,73,0.9,2.1,0.411,15,14,4,7,16,14,14,14,13,5,5,15,16,16,17,16,17,10,7,10,8,8,16,16,10,10,8,4,4,13,14,14,14,14,13,2021-22
6,1629020,Jarred Vanderbilt,Jarred,1610612750,MIN,23.0,74,41,33,0.554,25.4,113.4,115.5,115.5,109.3,110.5,110.5,4.2,5.0,5.0,0.066,1.29,16.0,0.107,0.212,0.158,12.5,12.5,0.59,0.612,0.108,0.109,102.49,101.0,84.17,101.0,0.103,3941,212,361,2.9,4.9,0.587,3,4,15,13,6,3,2,2,9,11,11,2,2,2,15,10,8,2,2,1,14,14,4,3,16,16,16,18,18,8,7,10,10,11,3,2021-22
7,1629669,Jaylen Nowell,Jaylen,1610612750,MIN,22.0,62,37,25,0.597,15.7,114.5,114.5,114.5,111.4,111.7,111.7,3.1,2.8,2.8,0.197,3.61,21.1,0.022,0.1,0.061,5.8,5.8,0.551,0.581,0.205,0.211,103.63,103.5,86.25,103.5,0.108,2107,196,413,3.2,6.7,0.475,9,9,7,4,11,1,4,4,16,16,16,6,7,7,6,3,7,13,13,14,3,3,6,7,5,5,9,9,9,6,8,8,7,7,7,2021-22
8,1629162,Jordan McLaughlin,Jordan,1610612750,MIN,26.0,62,36,26,0.581,14.5,111.7,111.4,111.4,108.6,109.0,109.0,3.0,2.4,2.4,0.258,4.74,41.4,0.023,0.075,0.049,8.7,8.7,0.507,0.535,0.115,0.119,105.48,105.44,87.87,105.44,0.088,1976,88,200,1.4,3.2,0.44,9,10,9,9,12,6,9,9,6,6,6,8,9,9,3,1,2,12,17,17,4,4,12,14,14,15,2,3,3,10,11,11,12,12,11,2021-22
9,1629006,Josh Okogie,Josh,1610612750,MIN,23.0,49,23,26,0.469,10.5,105.8,104.1,104.1,101.8,101.6,101.6,4.0,2.5,2.5,0.066,1.09,14.5,0.049,0.077,0.062,13.3,13.2,0.471,0.526,0.115,0.12,103.94,104.93,87.44,104.93,0.048,1133,42,104,0.9,2.1,0.404,12,12,9,17,13,15,15,15,1,1,1,3,8,8,14,14,10,7,16,13,15,15,15,15,15,14,5,5,5,16,13,12,15,15,15,2021-22
10,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,26.0,74,44,30,0.595,33.5,114.3,116.9,116.9,110.5,111.6,111.6,3.8,5.3,5.3,0.177,1.19,14.2,0.074,0.21,0.141,11.9,11.8,0.591,0.64,0.272,0.277,103.16,101.48,84.57,101.48,0.159,5232,642,1214,8.7,16.4,0.529,3,2,13,5,2,2,1,1,15,15,15,4,1,1,7,13,11,4,3,4,13,12,3,2,1,1,12,15,15,1,1,2,1,2,4,2021-22
11,1630195,Leandro Bolmaro,Leandro,1610612750,MIN,21.0,35,19,16,0.543,6.9,105.7,102.6,102.6,104.6,102.5,102.5,1.1,0.2,0.2,0.118,1.62,22.3,0.062,0.107,0.084,13.8,13.9,0.361,0.419,0.122,0.127,102.98,105.58,87.99,105.58,0.038,531,17,54,0.5,1.5,0.315,14,15,6,15,15,16,16,16,3,3,3,12,13,13,10,8,6,6,12,7,16,16,17,17,13,13,13,2,2,18,15,15,16,16,17,2021-22
12,1627736,Malik Beasley,Malik,1610612750,MIN,25.0,79,46,33,0.582,25.0,110.5,112.1,112.1,109.4,110.1,110.1,1.1,2.0,2.0,0.085,2.7,11.3,0.012,0.1,0.054,4.2,4.2,0.532,0.544,0.189,0.193,104.34,103.24,86.03,103.24,0.081,4250,332,850,4.2,10.8,0.391,1,1,15,8,7,11,7,7,10,10,10,11,10,10,12,6,14,15,14,15,2,2,10,12,7,7,4,11,11,11,4,4,4,4,16,2021-22
13,1630593,McKinley Wright IV,McKinley,1610612750,MIN,23.0,5,3,2,0.6,3.8,111.1,102.4,102.4,132.6,128.2,128.2,-21.5,-25.8,-25.8,0.231,3.0,42.9,0.0,0.0,0.0,14.3,14.3,0.833,0.833,0.082,0.089,97.24,103.04,85.87,103.04,0.06,42,2,3,0.4,0.6,0.667,16,16,2,2,17,9,17,17,17,17,17,17,17,17,5,4,1,17,18,18,17,17,1,1,17,17,18,12,12,15,17,17,17,17,1,2021-22
14,1630233,Nathan Knight,Nathan,1610612750,MIN,24.0,37,22,15,0.595,7.2,108.1,105.5,105.5,102.2,101.9,101.9,5.9,3.6,3.6,0.126,1.22,14.1,0.114,0.174,0.145,11.5,11.7,0.534,0.603,0.203,0.209,102.67,104.06,86.71,104.06,0.121,580,45,88,1.2,2.4,0.511,13,13,5,5,14,12,13,13,2,2,2,1,6,6,9,12,12,1,5,2,11,11,8,4,6,6,14,7,7,3,12,13,13,13,5,2021-22
15,1629675,Naz Reid,Naz,1610612750,MIN,22.0,77,42,35,0.545,15.8,105.1,105.5,105.5,108.3,107.9,107.9,-3.2,-2.4,-2.4,0.091,0.87,10.3,0.074,0.161,0.115,11.8,11.8,0.549,0.588,0.209,0.215,103.86,103.86,86.55,103.86,0.103,2616,233,476,3.0,6.2,0.489,2,3,18,14,10,17,12,12,4,4,4,16,15,15,11,17,16,3,6,6,12,13,7,6,4,4,6,8,8,7,6,6,9,8,6,2021-22
16,201976,Patrick Beverley,Patrick,1610612750,MIN,33.0,58,33,25,0.569,25.4,111.4,113.6,113.6,108.9,109.8,109.8,2.4,3.7,3.7,0.249,3.67,32.1,0.038,0.119,0.077,8.7,8.7,0.501,0.539,0.158,0.16,102.46,101.06,84.22,101.06,0.094,3105,177,436,3.1,7.5,0.406,11,11,7,12,5,7,6,6,7,8,8,9,5,5,4,2,4,8,9,8,5,5,14,13,11,11,17,17,17,9,9,7,8,6,14,2021-22
17,1627752,Taurean Prince,Taurean,1610612750,MIN,28.0,69,40,29,0.58,17.1,111.0,111.6,111.6,110.4,110.9,110.9,0.6,0.7,0.7,0.08,1.28,12.5,0.021,0.12,0.07,9.8,9.7,0.564,0.589,0.166,0.171,105.09,104.57,87.15,104.57,0.076,2553,177,390,2.6,5.7,0.454,7,5,12,10,9,10,8,8,14,14,14,13,11,11,13,11,13,14,8,11,7,7,5,5,8,8,3,6,6,12,9,9,11,9,9,2021-22
0,1630162,Anthony Edwards,Anthony,1610612750,MIN,19.0,72,23,49,0.319,32.1,108.9,110.6,110.6,114.1,115.6,115.6,-5.2,-5.0,-5.0,0.142,1.32,12.4,0.023,0.121,0.07,9.4,9.4,0.488,0.523,0.264,0.269,104.17,102.71,85.59,102.71,0.094,4961,505,1211,7.0,16.8,0.417,1,1,16,6,3,4,2,2,14,15,15,6,5,5,5,11,10,9,7,8,7,7,10,11,3,3,7,13,13,8,1,1,3,2,11,2020-21
1,1630204,Ashton Hagans,Ashton,1610612750,MIN,21.0,2,0,2,0.0,2.0,61.5,60.0,60.0,104.2,81.8,81.8,-42.7,-21.8,-21.8,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.083,0.085,108.59,123.93,103.28,123.93,-0.25,10,0,0,0.0,0.0,0.0,16,16,1,16,16,16,16,16,1,1,1,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,1,1,1,16,16,16,16,16,16,2020-21
2,1626156,D'Angelo Russell,D'Angelo,1610612750,MIN,25.0,42,16,26,0.381,28.5,109.1,109.7,109.7,115.5,116.8,116.8,-6.3,-7.0,-7.0,0.323,2.18,22.8,0.012,0.077,0.044,10.4,10.4,0.523,0.555,0.283,0.29,105.04,104.18,86.82,104.18,0.114,2591,281,652,6.7,15.5,0.431,11,9,3,1,4,3,4,4,16,16,16,9,11,11,2,5,4,15,15,15,11,11,8,6,2,2,2,2,2,2,4,3,4,4,9,2020-21
3,202334,Ed Davis,Ed,1610612750,MIN,32.0,23,5,18,0.217,13.0,101.4,101.4,101.4,108.2,109.0,109.0,-6.8,-7.6,-7.6,0.1,3.0,26.9,0.127,0.235,0.176,9.0,9.1,0.432,0.487,0.078,0.079,101.64,101.24,84.37,101.24,0.079,631,19,44,0.8,1.9,0.432,15,15,2,13,15,14,14,14,4,4,4,11,13,13,8,3,3,1,2,1,5,5,15,14,16,16,16,16,16,11,15,15,15,15,8,2020-21
4,1630183,Jaden McDaniels,Jaden,1610612750,MIN,20.0,63,18,45,0.286,24.0,108.5,109.6,109.6,112.5,113.1,113.1,-4.0,-3.4,-3.4,0.064,1.51,14.1,0.032,0.118,0.073,9.3,9.3,0.545,0.552,0.118,0.121,103.92,103.13,85.94,103.13,0.05,3250,164,367,2.6,5.8,0.447,5,7,12,9,6,5,5,5,10,9,9,4,3,3,14,6,8,8,8,7,6,6,6,7,14,14,9,10,10,14,7,7,8,8,5,2020-21
5,1627774,Jake Layman,Jake,1610612750,MIN,27.0,45,12,33,0.267,13.9,101.5,101.5,101.5,107.4,107.3,107.3,-6.0,-5.8,-5.8,0.067,1.08,11.1,0.019,0.083,0.051,10.3,10.2,0.557,0.577,0.147,0.152,104.16,104.15,86.79,104.15,0.074,1360,91,184,2.0,4.1,0.495,10,11,8,11,14,13,13,13,2,2,2,8,7,7,13,13,12,13,13,14,10,10,3,4,10,10,8,3,3,12,13,13,12,13,3,2020-21
6,1629020,Jarred Vanderbilt,Jarred,1610612750,MIN,22.0,64,18,46,0.281,17.8,106.9,108.1,108.1,108.2,109.2,109.2,-1.3,-1.1,-1.1,0.091,1.43,18.6,0.096,0.211,0.153,13.0,12.9,0.608,0.612,0.118,0.122,104.82,103.75,86.46,103.75,0.107,2451,143,236,2.2,3.7,0.606,4,7,14,10,11,7,7,7,3,5,5,2,2,2,9,9,5,2,3,3,15,15,1,1,13,13,4,5,5,4,8,12,10,14,1,2020-21
7,1629633,Jarrett Culver,Jarrett,1610612750,MIN,22.0,34,7,27,0.206,14.7,100.5,99.0,99.0,109.2,109.7,109.7,-8.7,-10.7,-10.7,0.079,0.86,9.9,0.059,0.132,0.094,11.5,11.6,0.449,0.476,0.179,0.185,103.18,103.72,86.44,103.72,0.057,1071,69,168,2.0,4.9,0.411,14,14,4,15,13,15,15,15,6,6,6,14,15,15,11,15,13,4,6,6,14,14,14,15,7,7,15,7,7,13,14,14,11,10,13,2020-21
8,1629669,Jaylen Nowell,Jaylen,1610612750,MIN,21.0,42,10,32,0.238,18.1,104.5,104.5,104.5,111.0,111.1,111.1,-6.5,-6.6,-6.6,0.13,2.21,13.9,0.022,0.098,0.058,6.3,6.2,0.499,0.528,0.206,0.214,103.83,103.74,86.45,103.74,0.081,1645,142,335,3.4,8.0,0.424,11,12,7,12,10,10,10,10,7,7,7,10,10,10,6,4,9,10,11,12,1,1,9,9,6,6,11,6,6,10,9,8,6,6,10,2020-21
