,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,SEASON_ID
1,1630162,Anthony Edwards,1610612750,MIN,21.0,79,36.0,4.53,2.23,2.3,2.58,0.0,0.03,0.06,0.32,0.3,0.62,0.51,0.49,0.03,0.18,0.2,0.19,0.11,0.125,0.875,0.938,0.563,2022-23
2,203085,Austin Rivers,1610612750,MIN,30.0,52,19.5,2.06,1.27,0.79,0.92,0.02,0.19,0.44,0.06,0.13,0.19,0.3,0.7,0.0,0.13,0.13,0.13,0.0,0.0,1.0,1.0,0.0,2022-23
3,1627854,Bryn Forbes,1610612750,MIN,29.0,25,10.7,0.8,0.32,0.48,0.44,0.0,0.16,0.36,0.04,0.12,0.16,0.25,0.75,0.0,0.04,0.04,0.0,0.0,0.0,1.0,0.0,0.0,2022-23
5,1630183,Jaden McDaniels,1610612750,MIN,22.0,79,30.6,7.06,4.2,2.86,2.25,0.01,0.2,0.47,0.16,0.28,0.44,0.371,0.629,0.04,0.44,0.48,0.42,0.15,0.079,0.921,0.971,0.353,2022-23
6,1629669,Jaylen Nowell,1610612750,MIN,23.0,65,19.3,1.88,1.0,0.88,1.25,0.0,0.03,0.06,0.12,0.14,0.26,0.471,0.529,0.0,0.06,0.06,0.06,0.0,0.0,1.0,1.0,0.0,2022-23
7,1629162,Jordan McLaughlin,1610612750,MIN,27.0,43,15.8,2.0,1.19,0.81,1.63,0.0,0.26,0.6,0.12,0.3,0.42,0.278,0.722,0.0,0.14,0.14,0.14,0.0,0.0,1.0,1.0,0.0,2022-23
8,1631169,Josh Minott,1610612750,MIN,20.0,15,6.4,1.87,1.13,0.73,0.8,0.0,0.0,0.0,0.07,0.07,0.13,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-23
9,1626157,Karl-Anthony Towns,1610612750,MIN,27.0,29,33.0,7.86,5.0,2.86,1.24,0.03,1.66,3.86,0.34,0.34,0.69,0.5,0.5,0.24,0.93,1.17,1.03,0.72,0.206,0.794,0.938,0.656,2022-23
10,203937,Kyle Anderson,1610612750,MIN,29.0,69,28.4,4.97,2.87,2.1,2.41,0.01,0.59,1.39,0.2,0.29,0.49,0.412,0.588,0.1,0.38,0.48,0.42,0.23,0.212,0.788,0.935,0.516,2022-23
11,1630568,Luka Garza,1610612750,MIN,24.0,28,8.7,2.71,2.36,0.36,0.18,0.04,1.29,2.93,0.14,0.0,0.14,1.0,0.0,0.25,0.54,0.79,0.75,0.39,0.318,0.682,1.0,0.524,2022-23
12,1630346,Matt Ryan,1610612750,MIN,26.0,22,8.2,1.86,0.73,1.14,0.27,0.0,0.0,0.0,0.05,0.09,0.14,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-23
13,201144,Mike Conley,1610612750,MIN,35.0,24,31.4,2.54,1.5,1.04,1.92,0.04,0.42,0.92,0.42,0.33,0.75,0.556,0.444,0.0,0.25,0.25,0.25,0.08,0.0,1.0,1.0,0.333,2022-23
14,1630233,Nathan Knight,1610612750,MIN,25.0,38,7.7,2.42,1.63,0.79,0.53,0.0,0.32,0.84,0.08,0.05,0.13,0.6,0.4,0.16,0.21,0.37,0.29,0.13,0.429,0.571,0.846,0.385,2022-23
15,1629675,Naz Reid,1610612750,MIN,23.0,68,18.4,5.88,4.22,1.66,1.31,0.07,1.71,4.0,0.16,0.16,0.32,0.5,0.5,0.09,0.75,0.84,0.78,0.43,0.105,0.895,0.981,0.537,2022-23
16,1629638,Nickeil Alexander-Walker,1610612750,MIN,24.0,23,15.5,2.17,1.52,0.65,0.91,0.09,0.09,0.22,0.13,0.13,0.26,0.5,0.5,0.0,0.13,0.13,0.13,0.0,0.0,1.0,1.0,0.0,2022-23
17,203497,Rudy Gobert,1610612750,MIN,31.0,70,30.7,10.11,8.31,1.8,1.44,0.01,4.93,11.46,0.14,0.17,0.31,0.455,0.545,0.51,1.43,1.94,1.8,1.2,0.265,0.735,0.969,0.646,2022-23
18,1627752,Taurean Prince,1610612750,MIN,29.0,54,22.1,2.81,1.54,1.28,1.43,0.19,0.13,0.31,0.15,0.22,0.37,0.4,0.6,0.07,0.28,0.35,0.3,0.2,0.211,0.789,0.889,0.611,2022-23
19,1631111,Wendell Moore Jr.,1610612750,MIN,21.0,29,5.3,0.48,0.28,0.21,0.45,0.03,0.1,0.21,0.03,0.03,0.07,0.5,0.5,0.0,0.03,0.03,0.03,0.0,0.0,1.0,1.0,0.0,2022-23
0,1630162,Anthony Edwards,1610612750,MIN,20.0,72,34.3,5.17,2.63,2.54,2.5,0.01,0.17,0.4,0.47,0.64,1.11,0.425,0.575,0.0,0.11,0.11,0.11,0.06,0.0,1.0,1.0,0.5,2021-22
2,1626156,D'Angelo Russell,1610612750,MIN,26.0,65,31.9,4.55,1.97,2.58,1.89,0.08,0.35,0.92,0.26,0.25,0.51,0.515,0.485,0.02,0.49,0.51,0.42,0.14,0.03,0.97,0.931,0.31,2021-22
3,202328,Greg Monroe,1610612750,MIN,32.0,4,20.4,5.0,3.75,1.25,1.5,0.0,3.5,8.5,0.25,0.0,0.25,1.0,0.0,0.75,0.75,1.5,0.75,0.25,0.5,0.5,0.6,0.2,2021-22
4,1630183,Jaden McDaniels,1610612750,MIN,21.0,70,25.8,7.43,4.4,3.03,1.63,0.01,0.27,0.67,0.39,0.36,0.74,0.519,0.481,0.09,0.61,0.7,0.64,0.31,0.122,0.878,0.978,0.478,2021-22
5,1627774,Jake Layman,1610612750,MIN,28.0,34,6.8,1.35,0.65,0.71,0.26,0.0,0.03,0.06,0.06,0.09,0.15,0.4,0.6,0.0,0.29,0.29,0.26,0.09,0.0,1.0,1.0,0.333,2021-22
6,1629020,Jarred Vanderbilt,1610612750,MIN,23.0,74,25.4,5.61,3.51,2.09,2.72,0.01,1.11,2.74,0.31,0.59,0.91,0.343,0.657,0.26,0.41,0.66,0.58,0.36,0.388,0.612,1.0,0.628,2021-22
7,1629669,Jaylen Nowell,1610612750,MIN,22.0,62,15.7,2.18,1.11,1.06,0.69,0.03,0.06,0.16,0.11,0.11,0.23,0.5,0.5,0.0,0.16,0.16,0.16,0.06,0.0,1.0,1.0,0.4,2021-22
8,1629162,Jordan McLaughlin,1610612750,MIN,26.0,62,14.5,2.76,1.39,1.37,1.77,0.03,0.23,0.61,0.13,0.24,0.37,0.348,0.652,0.0,0.18,0.18,0.16,0.06,0.0,1.0,0.909,0.364,2021-22
9,1629006,Josh Okogie,1610612750,MIN,23.0,49,10.5,2.43,1.2,1.22,1.12,0.08,0.22,0.57,0.27,0.14,0.41,0.65,0.35,0.06,0.33,0.39,0.29,0.14,0.158,0.842,0.933,0.467,2021-22
10,1626157,Karl-Anthony Towns,1610612750,MIN,26.0,74,33.5,9.27,6.76,2.51,1.84,0.0,3.16,7.55,0.46,0.38,0.84,0.548,0.452,0.47,1.86,2.34,1.89,1.26,0.202,0.798,0.986,0.655,2021-22
11,1630195,Leandro Bolmaro,1610612750,MIN,21.0,35,6.9,1.2,0.8,0.4,0.43,0.0,0.09,0.26,0.11,0.14,0.26,0.444,0.556,0.0,0.2,0.2,0.2,0.06,0.0,1.0,1.0,0.286,2021-22
12,1627736,Malik Beasley,1610612750,MIN,25.0,79,25.0,2.86,1.13,1.73,0.81,0.03,0.13,0.3,0.16,0.23,0.39,0.419,0.581,0.0,0.3,0.3,0.27,0.09,0.0,1.0,0.955,0.318,2021-22
13,1630593,McKinley Wright IV,1610612750,MIN,23.0,5,3.8,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-22
14,1630233,Nathan Knight,1610612750,MIN,24.0,37,7.2,2.84,1.68,1.16,0.43,0.0,0.84,1.95,0.19,0.03,0.22,0.875,0.125,0.22,0.46,0.68,0.54,0.24,0.32,0.68,1.0,0.45,2021-22
15,1629675,Naz Reid,1610612750,MIN,22.0,77,15.8,5.45,3.71,1.74,0.96,0.04,2.04,4.79,0.21,0.18,0.39,0.533,0.467,0.17,1.14,1.31,1.06,0.49,0.129,0.871,0.953,0.442,2021-22
16,201976,Patrick Beverley,1610612750,MIN,33.0,58,25.4,3.07,1.69,1.38,2.43,0.33,0.55,1.34,0.45,0.41,0.86,0.52,0.48,0.0,0.14,0.14,0.12,0.03,0.0,1.0,0.875,0.25,2021-22
17,1627752,Taurean Prince,1610612750,MIN,28.0,69,17.1,3.1,1.55,1.55,1.23,0.14,0.16,0.43,0.12,0.1,0.22,0.533,0.467,0.04,0.39,0.43,0.36,0.14,0.1,0.9,0.926,0.37,2021-22
0,1630162,Anthony Edwards,1610612750,MIN,19.0,72,32.1,4.6,2.21,2.39,1.83,0.0,0.14,0.33,0.39,0.43,0.82,0.475,0.525,0.03,0.08,0.11,0.1,0.08,0.25,0.75,1.0,0.857,2020-21
1,1630204,Ashton Hagans,1610612750,MIN,21.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2,1626156,D'Angelo Russell,1610612750,MIN,25.0,42,28.5,4.31,1.88,2.43,1.83,0.07,0.26,0.64,0.38,0.31,0.69,0.552,0.448,0.0,0.24,0.24,0.21,0.05,0.0,1.0,0.9,0.2,2020-21
3,202334,Ed Davis,1610612750,MIN,32.0,23,13.0,3.83,3.13,0.7,0.78,0.0,2.74,6.39,0.3,0.13,0.43,0.7,0.3,0.57,1.96,2.52,2.17,1.13,0.224,0.776,1.0,0.52,2020-21
4,1630183,Jaden McDaniels,1610612750,MIN,20.0,63,24.0,7.49,4.89,2.6,1.22,0.0,0.37,0.89,0.19,0.29,0.48,0.4,0.6,0.03,0.54,0.57,0.46,0.25,0.056,0.944,1.0,0.552,2020-21
5,1627774,Jake Layman,1610612750,MIN,27.0,45,13.9,2.76,1.8,0.96,0.91,0.04,0.16,0.44,0.11,0.29,0.4,0.278,0.722,0.0,0.62,0.62,0.36,0.09,0.0,1.0,0.8,0.2,2020-21
6,1629020,Jarred Vanderbilt,1610612750,MIN,22.0,64,17.8,6.0,4.28,1.72,1.69,0.03,1.33,3.17,0.33,0.39,0.72,0.457,0.543,0.28,0.41,0.69,0.48,0.34,0.409,0.591,0.939,0.667,2020-21
7,1629633,Jarrett Culver,1610612750,MIN,22.0,34,14.7,2.76,1.41,1.35,1.26,0.03,0.06,0.12,0.21,0.18,0.38,0.538,0.462,0.0,0.12,0.12,0.09,0.09,0.0,1.0,1.0,1.0,2020-21
8,1629669,Jaylen Nowell,1610612750,MIN,21.0,42,18.1,3.88,2.26,1.62,0.93,0.0,0.17,0.38,0.21,0.24,0.45,0.474,0.526,0.02,0.12,0.14,0.14,0.07,0.167,0.833,1.0,0.5,2020-21
9,1629162,Jordan McLaughlin,1610612750,MIN,25.0,51,18.4,3.55,1.84,1.71,2.02,0.04,0.43,1.08,0.33,0.39,0.73,0.459,0.541,0.0,0.16,0.16,0.16,0.04,0.0,1.0,1.0,0.25,2020-21
10,1629006,Josh Okogie,1610612750,MIN,22.0,59,20.3,4.24,2.39,1.85,1.8,0.07,0.32,0.83,0.25,0.47,0.73,0.349,0.651,0.05,0.32,0.37,0.25,0.1,0.136,0.864,0.938,0.375,2020-21
11,1627823,Juancho Hernangomez,1610612750,MIN,25.0,52,17.3,3.42,2.04,1.38,0.56,0.0,0.48,1.13,0.21,0.12,0.33,0.647,0.353,0.08,0.56,0.63,0.38,0.29,0.121,0.879,0.952,0.714,2020-21
12,1626157,Karl-Anthony Towns,1610612750,MIN,25.0,50,33.8,10.52,7.94,2.58,1.34,0.06,3.42,7.84,0.62,0.44,1.06,0.585,0.415,0.32,1.98,2.3,1.9,1.2,0.139,0.861,0.969,0.612,2020-21
13,1627736,Malik Beasley,1610612750,MIN,24.0,37,32.8,4.35,2.22,2.14,1.51,0.0,0.41,1.03,0.54,0.49,1.03,0.526,0.474,0.0,0.41,0.41,0.27,0.11,0.0,1.0,0.833,0.333,2020-21
14,1629675,Naz Reid,1610612750,MIN,21.0,70,19.2,7.94,6.1,1.84,1.09,0.1,2.27,5.14,0.3,0.2,0.5,0.6,0.4,0.29,1.49,1.77,1.3,0.56,0.161,0.839,0.929,0.398,2020-21
15,201937,Ricky Rubio,1610612750,MIN,30.0,68,26.1,3.37,1.24,2.13,2.29,0.01,0.49,1.18,0.22,0.47,0.69,0.319,0.681,0.0,0.16,0.16,0.15,0.07,0.0,1.0,0.909,0.455,2020-21
0,203459,Allen Crabbe,1610612750,MIN,28.0,9,14.6,1.56,0.89,0.67,1.33,0.0,0.0,0.0,0.11,0.11,0.22,0.5,0.5,0.0,0.11,0.11,0.11,0.11,0.0,1.0,1.0,1.0,2019-20
2,1626156,D'Angelo Russell,1610612750,MIN,24.0,12,32.6,6.0,2.58,3.42,2.75,0.17,0.33,0.75,0.67,0.5,1.17,0.571,0.429,0.0,0.25,0.25,0.08,0.08,0.0,1.0,1.0,1.0,2019-20
4,1628980,Jacob Evans,1610612750,MIN,23.0,2,2.1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5,1627774,Jake Layman,1610612750,MIN,26.0,23,22.0,5.09,3.26,1.83,1.52,0.09,0.17,0.43,0.26,0.35,0.61,0.429,0.571,0.17,2.43,2.61,1.13,0.3,0.067,0.933,0.839,0.226,2019-20
6,201949,James Johnson,1610612750,MIN,33.0,14,24.2,9.29,5.93,3.36,2.5,0.0,2.21,5.64,0.43,0.21,0.64,0.667,0.333,0.07,3.21,3.29,1.5,0.29,0.022,0.978,0.84,0.16,2019-20
7,1629020,Jarred Vanderbilt,1610612750,MIN,21.0,2,2.6,1.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8,1629633,Jarrett Culver,1610612750,MIN,21.0,63,23.9,4.92,2.84,2.08,1.67,0.02,0.11,0.25,0.52,0.35,0.87,0.6,0.4,0.05,0.4,0.44,0.25,0.11,0.107,0.893,0.842,0.368,2019-20
9,1629669,Jaylen Nowell,1610612750,MIN,20.0,15,10.1,1.73,1.13,0.6,0.2,0.0,0.07,0.13,0.07,0.07,0.13,0.5,0.5,0.0,0.13,0.13,0.07,0.0,0.0,1.0,1.0,0.0,2019-20
12,1629162,Jordan McLaughlin,1610612750,MIN,24.0,30,19.7,4.33,3.03,1.3,1.97,0.0,0.2,0.5,0.17,0.43,0.6,0.278,0.722,0.0,0.4,0.4,0.27,0.07,0.0,1.0,0.8,0.2,2019-20
13,1629006,Josh Okogie,1610612750,MIN,21.0,62,25.0,5.23,3.15,2.08,2.18,0.05,0.16,0.42,0.39,0.63,1.02,0.381,0.619,0.16,0.27,0.44,0.27,0.15,0.37,0.63,0.895,0.474,2019-20
