...1.x,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,SEASON,...1.y,TeamID,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,feet,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,HOW_ACQUIRED,position_group
0,202357,2015-16,00,1610612750,MIN,28,60,0,1075,110,235,0.468,48,125,0.384,40,55,0.727,49,161,210,82,26,21,47,154,308,2015,13,1610612750,00,Nemanja Bjelica,Nemanja,nemanja-bjelica,88,F,82,6,240,"MAY 09, 1988",28,R,NA,NA,forward
1,202357,2016-17,00,1610612750,MIN,29,65,1,1190,151,356,0.424,56,177,0.316,45,61,0.738,57,187,244,79,40,20,59,154,403,2016,14,1610612750,00,Nemanja Bjelica,Nemanja,nemanja-bjelica,88,F,82,6,225,"MAY 09, 1988",29,1,NA,NA,forward
2,202357,2017-18,00,1610612750,MIN,30,67,21,1371,171,371,0.461,76,183,0.415,36,45,0.8,53,221,274,86,50,16,52,141,454,2017,4,1610612750,00,Nemanja Bjelica,Nemanja,nemanja-bjelica,8,F,82,6,230,"MAY 09, 1988",30,2,NA,NA,forward
1,203940,2014-15,00,1610612750,MIN,24,29,22,720,89,213,0.418,1,8,0.125,29,44,0.659,47,111,158,30,18,9,44,84,208,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,203940,2015-16,00,1610612750,MIN,25,52,2,486,53,145,0.366,9,32,0.281,17,26,0.654,20,91,111,29,16,11,36,77,132,2015,12,1610612750,00,Adreian Payne,Adreian,adreian-payne,33,F,82,6,237,"FEB 19, 1991",25,1,Michigan State,NA,forward
4,203940,2016-17,00,1610612750,MIN,26,18,0,135,23,54,0.426,3,15,0.2,14,19,0.737,9,24,33,7,8,7,8,32,63,2016,12,1610612750,00,Adreian Payne,Adreian,adreian-payne,33,F,82,6,237,"FEB 19, 1991",26,2,Michigan State,NA,forward
0,1626157,2015-16,00,1610612750,MIN,20,82,82,2627,625,1153,0.542,30,88,0.341,223,275,0.811,229,629,858,161,58,138,183,245,1503,2015,11,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C-F,84,7,244,"NOV 15, 1995",20,R,Kentucky,#1 Pick in 2015 Draft,center
1,1626157,2016-17,00,1610612750,MIN,21,82,82,3030,802,1480,0.542,101,275,0.367,356,428,0.832,296,711,1007,220,56,103,212,241,2061,2016,11,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C,84,7,244,"NOV 15, 1995",21,1,Kentucky,#1 Pick in 2015 Draft,center
2,1626157,2017-18,00,1610612750,MIN,22,82,82,2918,639,1172,0.545,120,285,0.421,345,402,0.858,238,774,1012,199,64,115,159,285,1743,2017,13,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C,84,7,248,"NOV 15, 1995",22,2,Kentucky,#1 Pick in 2015 Draft,center
3,1626157,2018-19,00,1610612750,MIN,23,77,77,2545,681,1314,0.518,142,355,0.4,376,450,0.836,263,691,954,259,67,125,240,292,1880,2018,12,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C,84,7,248,"NOV 15, 1995",23,3,Kentucky,#1 Pick in 2015 Draft,center
4,1626157,2019-20,00,1610612750,MIN,24,35,35,1187,316,622,0.508,114,277,0.412,180,226,0.796,95,283,378,153,33,42,110,117,926,2019,14,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C-F,83,6,248,"NOV 15, 1995",24,4,Kentucky,#1 Pick in 2015 Draft,center
5,1626157,2020-21,00,1610612750,MIN,25,50,50,1689,425,875,0.486,122,315,0.387,267,311,0.859,133,396,529,225,39,57,160,186,1239,2020,13,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C-F,83,6,248,"NOV 15, 1995",25,5,Kentucky,#1 Pick in 2015 Draft,center
6,1626157,2021-22,00,1610612750,MIN,26,74,74,2475,642,1214,0.529,150,366,0.41,384,467,0.822,194,533,727,269,72,83,226,267,1818,2021,16,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C-F,83,6,248,"NOV 15, 1995",26,6,Kentucky,#1 Pick in 2015 Draft,center
7,1626157,2022-23,00,1610612750,MIN,27,29,29,957,212,428,0.495,60,164,0.366,118,135,0.874,48,188,236,140,20,17,86,111,602,2022,14,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C-F,84,7,248,"NOV 15, 1995",27,7,Kentucky,#1 Pick in 2015 Draft,center
8,1626157,2023-24,00,1610612750,MIN,28,11,11,366,87,187,0.465,22,65,0.338,35,38,0.921,11,91,102,25,10,6,28,31,231,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,203952,2014-15,00,1610612750,MIN,20,82,82,2969,497,1137,0.437,39,126,0.31,354,466,0.76,134,240,374,170,86,50,177,190,1387,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203952,2015-16,00,1610612750,MIN,21,81,81,2845,594,1294,0.459,57,190,0.3,430,565,0.761,105,186,291,164,78,46,182,165,1675,2015,10,1610612750,00,Andrew Wiggins,Andrew,andrew-wiggins,22,G-F,80,6,199,"FEB 23, 1995",21,1,Kansas,NA,guard
2,203952,2016-17,00,1610612750,MIN,22,82,82,3048,709,1570,0.452,103,289,0.356,412,542,0.76,102,226,328,189,82,30,187,183,1933,2016,9,1610612750,00,Andrew Wiggins,Andrew,andrew-wiggins,22,F,80,6,199,"FEB 23, 1995",22,2,Kansas,NA,forward
3,203952,2017-18,00,1610612750,MIN,23,82,82,2979,569,1300,0.438,112,338,0.331,202,314,0.643,82,276,358,160,91,51,138,163,1452,2017,8,1610612750,00,Andrew Wiggins,Andrew,andrew-wiggins,22,F,80,6,202,"FEB 23, 1995",23,3,Kansas,NA,forward
4,203952,2018-19,00,1610612750,MIN,24,73,73,2543,498,1209,0.412,118,348,0.339,207,296,0.699,83,269,352,184,70,48,138,153,1321,2018,9,1610612750,00,Andrew Wiggins,Andrew,andrew-wiggins,22,F-G,80,6,194,"FEB 23, 1995",24,4,Kansas,NA,forward
5,203952,2019-20,00,1610612750,MIN,25,42,42,1455,351,790,0.444,91,275,0.331,149,207,0.72,48,171,219,155,29,36,107,101,942,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,708,1995-96,00,1610612750,MIN,20,80,43,2293,361,735,0.491,8,28,0.286,105,149,0.705,175,326,501,145,86,131,110,189,835,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,708,1996-97,00,1610612750,MIN,21,77,77,2991,549,1100,0.499,6,21,0.286,205,272,0.754,190,428,618,236,105,163,175,199,1309,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,708,1997-98,00,1610612750,MIN,22,82,82,3222,635,1293,0.491,3,16,0.188,245,332,0.738,222,564,786,348,139,150,192,224,1518,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,708,1998-99,00,1610612750,MIN,23,47,47,1780,414,900,0.46,4,14,0.286,145,206,0.704,166,323,489,202,78,83,135,152,977,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,708,1999-00,00,1610612750,MIN,24,81,81,3243,759,1526,0.497,30,81,0.37,309,404,0.765,223,733,956,401,120,126,268,205,1857,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,708,2000-01,00,1610612750,MIN,25,81,81,3203,704,1475,0.477,19,66,0.288,357,467,0.764,219,702,921,401,111,145,230,204,1784,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,708,2001-02,00,1610612750,MIN,26,81,81,3172,659,1401,0.47,37,116,0.319,359,448,0.801,243,738,981,422,96,126,229,184,1714,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,708,2002-03,00,1610612750,MIN,27,82,82,3322,743,1481,0.502,20,71,0.282,377,502,0.751,244,858,1102,495,113,129,229,199,1883,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,708,2003-04,00,1610612750,MIN,28,82,82,3232,804,1611,0.499,11,43,0.256,368,465,0.791,245,894,1139,409,120,178,212,202,1987,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,708,2004-05,00,1610612750,MIN,29,82,82,3121,683,1360,0.502,6,25,0.24,445,549,0.811,247,861,1108,466,121,112,222,207,1817,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,708,2005-06,00,1610612750,MIN,30,76,76,2957,626,1191,0.526,8,30,0.267,396,489,0.81,214,752,966,308,104,107,180,206,1656,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,708,2006-07,00,1610612750,MIN,31,76,76,2995,638,1341,0.476,12,56,0.214,416,498,0.835,183,792,975,313,89,126,205,184,1704,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,708,2014-15,00,1610612750,MIN,39,5,5,98,18,31,0.581,0,1,0,2,4,0.5,2,24,26,8,5,4,1,13,38,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,708,2015-16,00,1610612750,MIN,40,38,38,556,54,115,0.47,0,1,0,14,21,0.667,15,135,150,62,28,10,16,70,122,2015,9,1610612750,00,Kevin Garnett,Kevin,kevin-garnett,21,F,83,6,240,"MAY 19, 1976",40,20,Farragut Academy HS (IL),NA,forward
0,203498,2013-14,00,1610612750,MIN,21,37,0,290,57,124,0.46,3,11,0.273,26,40,0.65,24,29,53,6,8,1,16,24,143,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203498,2014-15,00,1610612750,MIN,22,38,13,866,194,397,0.489,20,51,0.392,104,145,0.717,63,91,154,44,18,7,35,49,512,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,203498,2015-16,00,1610612750,MIN,23,82,0,1682,317,681,0.465,44,152,0.289,185,242,0.764,100,167,267,52,24,7,70,94,863,2015,8,1610612750,00,Shabazz Muhammad,Shabazz,shabazz-muhammad,15,F,78,6,223,"NOV 13, 1992",23,2,UCLA,NA,forward
3,203498,2016-17,00,1610612750,MIN,24,78,1,1516,288,598,0.482,49,145,0.338,147,190,0.774,84,136,220,35,22,6,56,86,772,2016,7,1610612750,00,Shabazz Muhammad,Shabazz,shabazz-muhammad,15,F,78,6,223,"NOV 13, 1992",24,3,UCLA,NA,forward
4,203498,2017-18,00,1610612750,MIN,25,32,2,301,47,121,0.388,4,19,0.211,22,31,0.71,15,30,45,7,5,2,5,23,120,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,201593,2010-11,00,1610612750,MIN,25,65,11,887,136,263,0.517,0,0,0,87,114,0.763,90,103,193,27,18,35,91,181,359,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,201593,2011-12,00,1610612750,MIN,26,47,35,1264,256,454,0.564,0,0,0,139,187,0.743,181,165,346,31,29,31,87,98,651,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,201593,2012-13,00,1610612750,MIN,27,62,62,1959,385,741,0.52,0,0,0,241,324,0.744,230,315,545,53,43,50,101,143,1011,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,201593,2013-14,00,1610612750,MIN,28,54,54,1663,379,701,0.541,0,0,0,186,249,0.747,206,262,468,50,30,23,84,129,944,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,201593,2014-15,00,1610612750,MIN,29,31,29,815,139,328,0.424,0,0,0,108,129,0.837,89,145,234,27,19,12,42,59,386,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,201593,2015-16,00,1610612750,MIN,30,12,3,156,19,50,0.38,0,0,0,16,20,0.8,7,14,21,11,1,0,9,22,54,2015,7,1610612750,00,Nikola Pekovic,Nikola,nikola-pekovic,14,C,83,6,307,"JAN 03, 1986",30,5,Panathinaikos,NA,center
18,2419,2015-16,00,1610612750,MIN,36,77,44,1462,102,229,0.445,4,23,0.174,13,19,0.684,32,115,147,74,36,13,27,62,221,2015,6,1610612750,00,Tayshaun Prince,Tayshaun,tayshaun-prince,12,F,81,6,212,"FEB 28, 1980",36,13,Kentucky,NA,forward
1,204014,2015-16,00,1610612750,MIN,30,33,0,277,25,62,0.403,17,50,0.34,8,8,1,5,15,20,11,3,1,13,33,75,2015,5,1610612750,00,Damjan Rudez,Damjan,damjan-rudez,10,F,81,6,230,"JUN 17, 1986",30,1,Zaragoza,NA,forward
0,201937,2011-12,00,1610612750,MIN,21,41,31,1404,139,389,0.357,32,94,0.34,126,157,0.803,21,150,171,336,91,8,131,97,436,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,201937,2012-13,00,1610612750,MIN,22,57,47,1691,185,514,0.36,27,92,0.293,211,264,0.799,44,185,229,418,137,5,172,143,608,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,201937,2013-14,00,1610612750,MIN,23,82,82,2638,255,670,0.381,44,133,0.331,227,283,0.802,61,281,342,704,191,11,221,218,781,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,201937,2014-15,00,1610612750,MIN,24,22,22,692,78,219,0.356,13,51,0.255,57,71,0.803,19,106,125,193,38,1,64,59,226,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,201937,2015-16,00,1610612750,MIN,25,76,76,2323,219,586,0.374,62,190,0.326,266,314,0.847,40,286,326,658,162,10,193,201,766,2015,4,1610612750,00,Ricky Rubio,Ricky,ricky-rubio,9,G,76,6,194,"OCT 21, 1990",25,4,FC Barcelona,NA,guard
5,201937,2016-17,00,1610612750,MIN,26,75,75,2469,261,650,0.402,60,196,0.306,254,285,0.891,68,237,305,682,128,10,195,202,836,2016,5,1610612750,00,Ricky Rubio,Ricky,ricky-rubio,9,G,76,6,190,"OCT 21, 1990",26,5,FC Barcelona,NA,guard
9,201937,2020-21,00,1610612750,MIN,30,68,51,1772,193,498,0.388,66,214,0.308,130,150,0.867,28,195,223,433,98,4,111,139,582,2020,7,1610612750,00,Ricky Rubio,Ricky,ricky-rubio,9,G,75,6,190,"OCT 21, 1990",30,9,FC Barcelona,NA,guard
0,203897,2014-15,00,1610612750,MIN,20,77,40,1902,286,677,0.422,57,167,0.341,149,177,0.842,27,187,214,276,54,10,193,158,778,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203897,2015-16,00,1610612750,MIN,21,82,33,2294,433,959,0.452,123,316,0.389,161,203,0.793,27,201,228,251,69,17,155,193,1150,2015,3,1610612750,00,Zach LaVine,Zach,zach-lavine,8,G,77,6,189,"MAR 10, 1995",21,1,UCLA,NA,guard
2,203897,2016-17,00,1610612750,MIN,22,47,47,1749,326,710,0.459,120,310,0.387,117,140,0.836,19,141,160,139,41,10,85,104,889,2016,4,1610612750,00,Zach LaVine,Zach,zach-lavine,8,G,77,6,185,"MAR 10, 1995",22,2,UCLA,NA,guard
0,203476,2013-14,00,1610612750,MIN,24,60,15,818,113,227,0.498,1,1,1,59,93,0.634,103,197,300,39,30,50,54,108,286,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203476,2014-15,00,1610612750,MIN,25,73,49,2193,259,512,0.506,1,6,0.167,191,244,0.783,223,386,609,146,71,126,126,188,710,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,203476,2015-16,00,1610612750,MIN,26,82,39,2220,308,579,0.532,6,20,0.3,205,248,0.827,157,428,585,143,94,96,140,219,827,2015,2,1610612750,00,Gorgui Dieng,Gorgui,gorgui-dieng,5,C-F,83,6,241,"JAN 18, 1990",26,2,Louisville,NA,center
3,203476,2016-17,00,1610612750,MIN,27,82,82,2653,332,661,0.502,16,43,0.372,136,167,0.814,188,459,647,158,88,95,107,254,816,2016,3,1610612750,00,Gorgui Dieng,Gorgui,gorgui-dieng,5,F-C,83,6,240,"JAN 18, 1990",27,3,Louisville,NA,forward
4,203476,2017-18,00,1610612750,MIN,28,79,0,1333,186,388,0.479,19,61,0.311,79,102,0.775,106,254,360,71,45,39,59,147,470,2017,3,1610612750,00,Gorgui Dieng,Gorgui,gorgui-dieng,5,C,83,6,251,"JAN 18, 1990",28,4,Louisville,NA,center
5,203476,2018-19,00,1610612750,MIN,29,76,2,1031,189,377,0.501,19,56,0.339,88,106,0.83,81,230,311,72,48,41,57,134,485,2018,3,1610612750,00,Gorgui Dieng,Gorgui,gorgui-dieng,5,C,83,6,252,"JAN 18, 1990",29,5,Louisville,NA,center
6,203476,2019-20,00,1610612750,MIN,30,46,17,778,124,277,0.448,46,120,0.383,47,59,0.797,73,183,256,58,37,42,44,89,341,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,202962,2015-16,00,1610612750,MIN,25,18,0,192,18,32,0.563,0,0,0,7,17,0.412,12,30,42,6,4,1,7,28,43,2015,1,1610612750,00,Greg Smith,Greg,greg-smith,4,C,82,6,250,"JAN 08, 1991",25,4,Fresno State,NA,center
0,1626145,2015-16,00,1610612750,MIN,20,37,0,573,56,156,0.359,16,53,0.302,28,39,0.718,7,40,47,108,31,3,33,33,156,2015,0,1610612750,00,Tyus Jones,Tyus,tyus-jones,1,G,74,6,195,"MAY 10, 1996",20,R,Duke,NA,guard
1,1626145,2016-17,00,1610612750,MIN,21,60,0,774,75,181,0.414,26,73,0.356,33,43,0.767,10,57,67,156,48,5,38,50,209,2016,0,1610612750,00,Tyus Jones,Tyus,tyus-jones,1,G,74,6,195,"MAY 10, 1996",21,1,Duke,NA,guard
2,1626145,2017-18,00,1610612750,MIN,22,82,11,1467,150,328,0.457,45,129,0.349,71,81,0.877,16,116,132,232,95,6,59,110,416,2017,1,1610612750,00,Tyus Jones,Tyus,tyus-jones,1,G,74,6,184,"MAY 10, 1996",22,2,Duke,NA,guard
3,1626145,2018-19,00,1610612750,MIN,23,68,23,1560,185,446,0.415,40,126,0.317,58,69,0.841,23,111,134,327,81,5,47,78,468,2018,1,1610612750,00,Tyus Jones,Tyus,tyus-jones,1,G,74,6,196,"MAY 10, 1996",23,3,Duke,NA,guard
0,202357,2015-16,00,1610612750,MIN,28,60,0,1075,110,235,0.468,48,125,0.384,40,55,0.727,49,161,210,82,26,21,47,154,308,2015,13,1610612750,00,Nemanja Bjelica,Nemanja,nemanja-bjelica,88,F,82,6,240,"MAY 09, 1988",28,R,NA,NA,forward
1,202357,2016-17,00,1610612750,MIN,29,65,1,1190,151,356,0.424,56,177,0.316,45,61,0.738,57,187,244,79,40,20,59,154,403,2016,14,1610612750,00,Nemanja Bjelica,Nemanja,nemanja-bjelica,88,F,82,6,225,"MAY 09, 1988",29,1,NA,NA,forward
2,202357,2017-18,00,1610612750,MIN,30,67,21,1371,171,371,0.461,76,183,0.415,36,45,0.8,53,221,274,86,50,16,52,141,454,2017,4,1610612750,00,Nemanja Bjelica,Nemanja,nemanja-bjelica,8,F,82,6,230,"MAY 09, 1988",30,2,NA,NA,forward
8,202332,2016-17,00,1610612750,MIN,28,62,0,531,45,86,0.523,0,0,0,15,22,0.682,51,107,158,25,25,23,17,85,105,2016,13,1610612750,00,Cole Aldrich,Cole,cole-aldrich,45,C,83,6,250,"OCT 31, 1988",28,6,Kansas,NA,center
9,202332,2017-18,00,1610612750,MIN,29,21,0,49,5,15,0.333,0,0,0,2,6,0.333,3,12,15,3,2,1,1,11,12,2017,14,1610612750,00,Cole Aldrich,Cole,cole-aldrich,45,C,83,6,253,"OCT 31, 1988",29,7,Kansas,NA,center
1,203940,2014-15,00,1610612750,MIN,24,29,22,720,89,213,0.418,1,8,0.125,29,44,0.659,47,111,158,30,18,9,44,84,208,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,203940,2015-16,00,1610612750,MIN,25,52,2,486,53,145,0.366,9,32,0.281,17,26,0.654,20,91,111,29,16,11,36,77,132,2015,12,1610612750,00,Adreian Payne,Adreian,adreian-payne,33,F,82,6,237,"FEB 19, 1991",25,1,Michigan State,NA,forward
4,203940,2016-17,00,1610612750,MIN,26,18,0,135,23,54,0.426,3,15,0.2,14,19,0.737,9,24,33,7,8,7,8,32,63,2016,12,1610612750,00,Adreian Payne,Adreian,adreian-payne,33,F,82,6,237,"FEB 19, 1991",26,2,Michigan State,NA,forward
0,1626157,2015-16,00,1610612750,MIN,20,82,82,2627,625,1153,0.542,30,88,0.341,223,275,0.811,229,629,858,161,58,138,183,245,1503,2015,11,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C-F,84,7,244,"NOV 15, 1995",20,R,Kentucky,#1 Pick in 2015 Draft,center
1,1626157,2016-17,00,1610612750,MIN,21,82,82,3030,802,1480,0.542,101,275,0.367,356,428,0.832,296,711,1007,220,56,103,212,241,2061,2016,11,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C,84,7,244,"NOV 15, 1995",21,1,Kentucky,#1 Pick in 2015 Draft,center
2,1626157,2017-18,00,1610612750,MIN,22,82,82,2918,639,1172,0.545,120,285,0.421,345,402,0.858,238,774,1012,199,64,115,159,285,1743,2017,13,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C,84,7,248,"NOV 15, 1995",22,2,Kentucky,#1 Pick in 2015 Draft,center
3,1626157,2018-19,00,1610612750,MIN,23,77,77,2545,681,1314,0.518,142,355,0.4,376,450,0.836,263,691,954,259,67,125,240,292,1880,2018,12,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C,84,7,248,"NOV 15, 1995",23,3,Kentucky,#1 Pick in 2015 Draft,center
4,1626157,2019-20,00,1610612750,MIN,24,35,35,1187,316,622,0.508,114,277,0.412,180,226,0.796,95,283,378,153,33,42,110,117,926,2019,14,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C-F,83,6,248,"NOV 15, 1995",24,4,Kentucky,#1 Pick in 2015 Draft,center
5,1626157,2020-21,00,1610612750,MIN,25,50,50,1689,425,875,0.486,122,315,0.387,267,311,0.859,133,396,529,225,39,57,160,186,1239,2020,13,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C-F,83,6,248,"NOV 15, 1995",25,5,Kentucky,#1 Pick in 2015 Draft,center
6,1626157,2021-22,00,1610612750,MIN,26,74,74,2475,642,1214,0.529,150,366,0.41,384,467,0.822,194,533,727,269,72,83,226,267,1818,2021,16,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C-F,83,6,248,"NOV 15, 1995",26,6,Kentucky,#1 Pick in 2015 Draft,center
7,1626157,2022-23,00,1610612750,MIN,27,29,29,957,212,428,0.495,60,164,0.366,118,135,0.874,48,188,236,140,20,17,86,111,602,2022,14,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C-F,84,7,248,"NOV 15, 1995",27,7,Kentucky,#1 Pick in 2015 Draft,center
8,1626157,2023-24,00,1610612750,MIN,28,11,11,366,87,187,0.465,22,65,0.338,35,38,0.921,11,91,102,25,10,6,28,31,231,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,201941,2016-17,00,1610612750,MIN,29,7,0,47,5,13,0.385,0,0,0,2,2,1,8,6,14,0,1,0,4,9,12,2016,10,1610612750,00,Jordan Hill,Jordan,jordan-hill,27,F-C,82,6,240,"JUL 27, 1987",29,7,Arizona,NA,forward
0,203952,2014-15,00,1610612750,MIN,20,82,82,2969,497,1137,0.437,39,126,0.31,354,466,0.76,134,240,374,170,86,50,177,190,1387,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203952,2015-16,00,1610612750,MIN,21,81,81,2845,594,1294,0.459,57,190,0.3,430,565,0.761,105,186,291,164,78,46,182,165,1675,2015,10,1610612750,00,Andrew Wiggins,Andrew,andrew-wiggins,22,G-F,80,6,199,"FEB 23, 1995",21,1,Kansas,NA,guard
2,203952,2016-17,00,1610612750,MIN,22,82,82,3048,709,1570,0.452,103,289,0.356,412,542,0.76,102,226,328,189,82,30,187,183,1933,2016,9,1610612750,00,Andrew Wiggins,Andrew,andrew-wiggins,22,F,80,6,199,"FEB 23, 1995",22,2,Kansas,NA,forward
