,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,SEASON_ID,SHOT_DISTANCE,HEIGHT,WEIGHT,NET_RATING,CONTESTED_SHOTS,OFF_RATING,DEF_RATING,PIE,USG_PCT,POSS,DEF_WS,POSITION
0,1630162,Anthony Edwards,Anthony,1610612750,MIN,21.0,79,40,39,0.506,36.0,8.9,19.5,0.459,2.7,7.3,0.369,4.0,5.3,0.756,0.6,5.2,5.8,4.4,3.3,1.6,0.7,0.7,2.4,3.5,24.6,1.2,41.9,9,0,42.2,1,2,1,10,1,1,1,13,2,1,7,2,1,13,8,3,3,5,1,1,5,1,5,3,1,6,1,3,2,1,2022-23,13.414016872160934,76,225,1.9,0.057341772151898736,113.8,111.9,0.125,0.292,6016,0.116,G
1,203085,Austin Rivers,Austin,1610612750,MIN,30.0,52,25,27,0.481,19.5,1.8,4.0,0.435,0.8,2.4,0.35,0.6,0.8,0.769,0.1,1.5,1.6,1.4,0.4,0.5,0.1,0.3,1.5,0.9,4.9,-2.7,10.4,0,0,10.0,9,9,7,15,9,13,13,15,11,10,12,14,14,12,18,12,14,10,15,11,16,13,11,13,13,19,13,9,2,14,2022-23,15.148325358851675,76,200,-4.9,0.039615384615384615,109.8,114.8,0.05,0.104,2154,0.048,G
2,1627854,Bryn Forbes,Bryn,1610612750,MIN,29.0,25,9,16,0.36,10.7,1.2,3.3,0.361,0.6,1.8,0.304,0.6,0.6,1.0,0.2,0.4,0.6,0.7,0.5,0.3,0.1,0.2,0.9,0.5,3.6,-1.9,5.9,0,0,6.1,15,18,12,20,14,16,15,20,13,12,16,13,15,1,16,20,19,14,14,14,15,15,16,15,16,18,17,9,2,17,2022-23,18.44578313253012,74,205,-8.5,0.032,107.8,116.2,0.035,0.155,580,0.022,G
3,1630183,Jaden McDaniels,Jaden,1610612750,MIN,22.0,79,41,38,0.519,30.6,4.7,9.1,0.517,1.4,3.4,0.398,1.3,1.8,0.736,1.2,2.7,3.9,1.9,1.4,0.9,1.0,0.4,3.4,1.6,12.1,0.9,23.8,0,0,23.0,1,1,2,7,6,5,6,6,6,7,3,8,9,14,4,6,6,8,6,5,2,7,2,8,6,8,7,9,2,7,2022-23,12.032122905027933,81,185,2.0,0.08936708860759493,113.6,111.6,0.069,0.156,5080,0.101,F
4,1629669,Jaylen Nowell,Jaylen,1610612750,MIN,23.0,65,34,31,0.523,19.3,4.3,9.6,0.448,1.0,3.6,0.289,1.2,1.5,0.778,0.6,2.1,2.6,2.0,1.0,0.6,0.1,0.6,1.6,1.2,10.8,-0.1,18.2,0,0,18.0,6,4,6,5,10,8,5,14,9,6,17,11,10,11,10,10,9,7,10,9,16,3,10,11,8,12,9,9,2,9,2022-23,13.0256,76,201,0.0,0.028923076923076923,111.2,111.3,0.095,0.238,2736,0.068,G
5,1629162,Jordan McLaughlin,Jordan,1610612750,MIN,27.0,43,22,21,0.512,15.8,1.4,3.4,0.421,0.6,1.8,0.308,0.3,0.4,0.833,0.3,1.1,1.4,3.4,0.8,0.7,0.1,0.2,0.7,0.5,3.7,2.0,12.4,0,0,10.9,10,10,10,9,12,14,14,17,14,13,15,17,17,8,12,14,16,6,11,7,14,16,18,16,14,1,11,9,2,12,2022-23,16.2,72,185,5.8,0.046511627906976744,111.7,105.9,0.086,0.112,1504,0.081,G
6,1631169,Josh Minott,Josh,1610612750,MIN,20.0,15,7,8,0.467,6.4,1.2,2.4,0.5,0.1,0.4,0.333,0.5,0.5,1.0,0.3,1.3,1.7,0.3,0.2,0.3,0.4,0.4,0.7,0.3,3.1,1.6,7.4,1,0,6.5,19,19,19,18,18,16,17,8,17,18,14,16,16,1,13,13,13,19,18,16,7,6,17,17,18,2,15,7,2,15,2022-23,6.166666666666667,80,205,10.4,0.12466666666666668,116.3,105.9,0.106,0.176,221,0.034,F
7,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,27.0,29,15,14,0.517,33.0,7.3,14.8,0.495,2.1,5.7,0.366,4.1,4.7,0.874,1.7,6.5,8.1,4.8,3.0,0.7,0.6,0.7,3.8,4.6,20.8,1.3,38.6,9,0,38.3,12,13,13,8,2,2,2,9,4,4,8,1,3,3,2,2,2,4,2,8,6,2,1,1,2,3,2,3,2,2,2022-23,13.521028037383177,84,248,1.8,0.2710344827586207,111.2,109.4,0.138,0.25,2049,0.131,C-F
8,203937,Kyle Anderson,Kyle,1610612750,MIN,29.0,69,36,33,0.522,28.4,3.7,7.2,0.509,0.6,1.5,0.41,1.4,2.0,0.735,1.0,4.4,5.3,4.9,1.5,1.1,0.9,0.3,2.1,1.9,9.4,1.3,27.7,10,3,24.3,4,3,5,6,7,9,9,7,12,14,2,7,6,15,6,4,4,3,5,3,3,11,8,6,9,5,6,2,1,6,2022-23,9.44040404040404,81,230,2.3,0.07202898550724637,113.9,111.7,0.108,0.143,4143,0.093,F-G
9,1630568,Luka Garza,Luka,1610612750,MIN,24.0,28,15,13,0.536,8.7,2.3,4.1,0.543,0.5,1.4,0.359,1.5,1.9,0.788,1.2,1.1,2.3,0.6,0.5,0.1,0.1,0.3,1.5,1.3,6.5,0.6,10.2,0,0,10.2,14,13,14,4,15,11,12,4,15,15,11,6,8,10,3,15,11,15,13,19,18,10,12,10,11,9,14,9,2,13,2022-23,11.086206896551724,82,243,2.0,0.09678571428571428,121.4,119.4,0.111,0.245,543,0.01,C
10,1630346,Matt Ryan,Matt,1610612750,MIN,26.0,22,10,12,0.455,8.2,1.1,2.7,0.424,0.9,2.2,0.388,0.3,0.3,0.857,0.1,0.5,0.5,0.5,0.2,0.1,0.0,0.2,0.6,0.2,3.4,1.0,5.2,0,0,5.7,18,17,16,19,16,18,16,16,10,11,5,18,18,5,19,19,20,17,19,18,19,18,19,19,17,7,18,9,2,18,2022-23,21.084745762711865,78,215,4.9,0.08454545454545455,120.1,115.2,0.059,0.147,402,0.02,F
11,201144,Mike Conley,Mike,1610612750,MIN,35.0,24,12,12,0.5,31.4,4.5,9.8,0.46,2.4,5.8,0.42,2.6,3.0,0.863,0.7,2.5,3.1,5.0,1.2,1.2,0.2,0.3,1.9,2.7,14.0,1.3,28.2,1,0,27.3,16,15,16,11,4,7,4,12,3,3,1,5,5,4,7,8,7,2,9,2,12,13,9,4,4,4,5,7,2,5,2022-23,17.76595744680851,73,175,1.5,0.10583333333333333,115.3,113.7,0.105,0.165,1572,0.083,G
12,1630233,Nathan Knight,Nathan,1610612750,MIN,25.0,38,19,19,0.5,7.7,1.2,2.1,0.568,0.2,0.6,0.364,1.0,1.5,0.684,0.6,0.9,1.5,0.3,0.6,0.3,0.2,0.2,1.1,0.9,3.7,-0.2,6.7,0,0,6.5,11,11,11,11,17,15,18,3,16,17,9,12,11,16,9,17,15,18,12,17,13,17,14,14,15,13,16,9,2,16,2022-23,8.308641975308642,80,253,-2.3,0.06368421052631579,109.6,111.9,0.076,0.177,646,0.026,F-C
13,1629675,Naz Reid,Naz,1610612750,MIN,23.0,68,32,36,0.471,18.4,4.6,8.5,0.537,1.1,3.2,0.346,1.3,1.9,0.677,1.1,3.8,4.9,1.1,1.4,0.6,0.8,0.5,2.6,1.6,11.5,-1.9,21.9,4,0,21.4,5,6,3,17,11,6,7,5,8,8,13,9,7,17,5,5,5,13,7,10,4,5,4,7,7,17,8,6,2,8,2022-23,11.353552859618718,81,264,-4.2,0.08647058823529412,109.2,113.3,0.122,0.242,2714,0.053,C-F
14,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,24.0,23,11,12,0.478,15.5,2.1,5.4,0.384,1.1,3.1,0.361,0.6,0.9,0.619,0.3,1.5,1.8,1.4,0.4,0.3,0.3,0.3,1.3,0.9,5.9,-1.4,11.7,0,0,11.5,17,16,16,16,13,12,11,19,7,9,10,15,13,19,14,11,12,11,16,13,9,8,13,12,12,15,12,9,2,11,2022-23,16.888,77,205,-3.7,0.09434782608695652,109.6,113.3,0.06,0.167,769,0.045,G
15,203497,Rudy Gobert,Rudy,1610612750,MIN,31.0,70,34,36,0.486,30.7,5.1,7.8,0.659,0.0,0.0,0.0,3.1,4.9,0.644,3.3,8.3,11.6,1.2,1.7,0.8,1.4,0.6,3.0,4.6,13.4,-0.1,34.0,35,0,30.6,3,4,3,14,5,4,8,2,19,19,19,3,2,18,1,1,1,12,4,6,1,4,3,2,5,11,3,1,2,4,2022-23,2.0476190476190474,85,258,0.4,0.14442857142857143,110.8,110.3,0.137,0.161,4477,0.111,C
16,1627752,Taurean Prince,Taurean,1610612750,MIN,29.0,54,31,23,0.574,22.1,3.3,7.0,0.467,1.4,3.6,0.381,1.2,1.4,0.844,0.3,2.2,2.4,1.6,1.3,0.5,0.3,0.3,2.3,1.6,9.1,0.0,15.5,0,0,16.1,7,7,9,2,8,10,10,10,5,5,6,10,12,7,15,9,10,9,8,12,10,12,6,9,10,10,10,9,2,10,2022-23,15.147757255936675,78,218,0.9,0.05203703703703704,111.9,111.0,0.065,0.165,2600,0.08,F
17,1631111,Wendell Moore Jr.,Wendell,1610612750,MIN,21.0,29,16,13,0.552,5.3,0.6,1.5,0.419,0.1,0.6,0.118,0.1,0.2,0.8,0.1,0.5,0.6,0.6,0.3,0.3,0.2,0.1,0.4,0.2,1.4,-1.8,4.2,0,0,3.7,12,12,14,3,19,20,19,18,18,16,18,19,19,9,17,18,18,16,17,15,11,19,20,18,20,16,19,9,2,19,2022-23,11.232558139534884,77,215,-13.5,0.016551724137931035,99.4,112.9,0.06,0.139,342,0.017,G
18,1630162,Anthony Edwards,Anthony,1610612750,MIN,20.0,72,39,33,0.542,34.2,7.6,17.3,0.441,3.0,8.4,0.357,3.1,3.9,0.786,0.9,3.9,4.8,3.8,2.6,1.5,0.6,0.6,2.3,2.8,21.3,2.6,36.4,4,0,37.1,5,7,2,16,1,2,1,10,2,1,6,2,2,6,8,4,4,4,2,1,6,2,5,3,2,3,2,4,2,2,2021-22,14.674698795180722,76,225,4.0,0.07180555555555555,114.6,110.6,0.111,0.262,5189,0.097,G
19,1626156,D'Angelo Russell,D'Angelo,1610612750,MIN,26.0,65,39,26,0.6,31.9,6.2,15.0,0.411,2.7,8.0,0.34,3.0,3.7,0.825,0.4,2.9,3.3,7.1,2.5,1.0,0.3,0.4,2.0,3.3,18.1,3.2,34.0,12,0,33.8,8,7,8,2,3,3,3,12,3,3,9,3,3,2,11,7,8,1,3,6,8,7,8,2,3,2,3,2,2,3,2021-22,17.653333333333332,76,193,4.7,0.06999999999999999,114.5,109.8,0.114,0.246,4431,0.099,G
20,202328,Greg Monroe,Greg,1610612750,MIN,32.0,4,1,3,0.25,20.4,3.3,5.5,0.591,0.0,0.0,0.0,0.8,1.8,0.429,1.5,4.5,6.0,4.0,1.8,1.0,1.5,0.5,2.3,1.5,7.3,-0.5,26.2,0,0,22.3,17,17,16,18,8,6,10,2,17,17,17,11,7,16,3,3,3,3,4,4,1,4,6,7,10,15,4,9,2,5,2021-22,3.227272727272727,82,250,-0.5,1.25,110.3,110.8,0.133,0.16,175,0.058,F-C
21,1630183,Jaden McDaniels,Jaden,1610612750,MIN,21.0,70,40,30,0.571,25.8,3.6,7.9,0.46,1.1,3.6,0.317,0.8,1.0,0.803,1.1,3.1,4.2,1.1,1.1,0.7,0.8,0.4,3.2,1.2,9.2,0.0,19.4,0,0,18.7,6,5,5,11,4,5,5,8,7,6,11,10,12,5,5,5,5,10,6,8,5,8,2,9,5,12,7,9,2,8,2021-22,13.321299638989169,81,185,0.6,0.10614285714285714,109.9,109.3,0.061,0.149,3840,0.084,F
22,1627774,Jake Layman,Jake,1610612750,MIN,28.0,34,20,14,0.588,6.8,0.9,2.1,0.411,0.2,1.0,0.229,0.4,0.5,0.722,0.2,0.9,1.1,0.3,0.3,0.2,0.1,0.1,0.4,0.4,2.4,-0.3,4.8,0,0,4.6,15,14,15,7,16,14,14,13,12,11,15,15,15,12,16,15,16,17,16,14,15,15,16,16,15,14,15,9,2,15,2021-22,13.972602739726028,80,209,-3.4,0.03970588235294118,105.3,108.7,0.064,0.16,509,0.024,F
23,1629020,Jarred Vanderbilt,Jarred,1610612750,MIN,23.0,74,41,33,0.554,25.4,2.9,4.9,0.587,0.0,0.2,0.143,1.2,1.8,0.656,2.9,5.5,8.4,1.3,1.0,1.3,0.6,0.6,2.4,1.8,6.9,2.2,23.8,8,0,20.6,3,4,2,13,6,10,11,3,16,16,16,7,6,15,1,2,2,9,8,2,7,3,4,5,11,4,6,3,2,7,2021-22,2.670360110803324,81,214,5.0,0.07581081081081081,115.5,110.5,0.103,0.108,3941,0.073,F
24,1629669,Jaylen Nowell,Jaylen,1610612750,MIN,22.0,62,37,25,0.597,15.7,3.2,6.7,0.475,1.0,2.6,0.394,1.2,1.5,0.783,0.4,1.6,2.0,2.1,0.6,0.4,0.2,0.3,1.2,1.1,8.5,1.1,15.2,0,0,14.8,9,9,11,4,11,7,7,7,8,8,3,8,9,7,13,11,12,7,11,13,12,11,10,12,7,6,10,9,2,10,2021-22,13.581113801452785,76,201,2.8,0.03516129032258065,114.5,111.7,0.108,0.205,2107,0.04,G
25,1629162,Jordan McLaughlin,Jordan,1610612750,MIN,26.0,62,36,26,0.581,14.5,1.4,3.2,0.44,0.4,1.4,0.318,0.5,0.6,0.75,0.4,1.2,1.5,2.9,0.6,0.9,0.2,0.2,0.9,0.8,3.8,0.6,12.6,1,0,10.8,9,10,8,9,12,12,12,11,10,10,10,14,14,10,13,13,13,6,10,7,12,12,14,13,12,9,12,7,2,12,2021-22,12.755,71,185,2.4,0.04451612903225806,111.4,109.0,0.088,0.115,1976,0.05,G
26,1629006,Josh Okogie,Josh,1610612750,MIN,23.0,49,23,26,0.469,10.5,0.9,2.1,0.404,0.3,1.0,0.298,0.7,1.0,0.686,0.6,0.8,1.4,0.5,0.5,0.5,0.2,0.2,1.1,1.1,2.7,0.8,7.1,0,0,6.5,12,12,8,17,13,15,15,15,11,12,13,12,11,14,9,16,14,16,14,11,10,13,13,11,14,8,14,9,2,14,2021-22,11.913461538461538,76,213,2.5,0.04959183673469388,104.1,101.6,0.048,0.115,1133,0.059,G
27,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,26.0,74,44,30,0.595,33.5,8.7,16.4,0.529,2.0,4.9,0.41,5.2,6.3,0.822,2.6,7.2,9.8,3.6,3.1,1.0,1.1,1.2,3.6,5.8,24.6,3.7,45.0,40,1,44.2,3,2,5,5,2,1,2,4,4,4,2,1,1,3,2,1,1,5,1,5,2,1,1,1,1,1,1,1,1,1,2021-22,11.028006589785832,83,248,5.3,0.12527027027027027,116.9,111.6,0.159,0.272,5232,0.085,C-F
28,1630195,Leandro Bolmaro,Leandro,1610612750,MIN,21.0,35,19,16,0.543,6.9,0.5,1.5,0.315,0.1,0.5,0.278,0.3,0.4,0.846,0.5,0.8,1.2,0.6,0.4,0.2,0.0,0.0,0.7,0.5,1.4,0.1,3.9,0,0,3.7,14,15,13,15,15,16,16,17,14,13,14,16,16,1,10,17,15,13,15,16,16,16,15,14,16,11,16,9,2,16,2021-22,13.277777777777779,78,200,0.2,0.03428571428571429,102.6,102.5,0.038,0.122,531,0.037,F
29,1627736,Malik Beasley,Malik,1610612750,MIN,25.0,79,46,33,0.582,25.0,4.2,10.8,0.391,3.0,8.1,0.377,0.6,0.8,0.817,0.3,2.5,2.9,1.5,0.5,0.5,0.2,0.4,1.1,0.5,12.1,1.0,19.3,0,0,20.8,1,1,2,8,7,4,4,16,1,2,4,13,13,4,15,9,9,8,12,10,14,5,12,15,4,7,8,9,2,6,2021-22,20.25764705882353,76,187,2.0,0.03620253164556962,112.1,110.1,0.081,0.189,4250,0.075,G
30,1630593,McKinley Wright IV,McKinley,1610612750,MIN,23.0,5,3,2,0.6,3.8,0.4,0.6,0.667,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.2,0.0,1.0,-1.4,1.7,0,0,1.8,16,16,17,2,17,17,17,1,13,14,1,17,17,17,17,18,18,13,17,17,16,17,17,17,17,17,17,9,2,17,2021-22,19.0,71,192,-25.8,0.08,102.4,128.2,0.06,0.082,42,-0.009,G
31,1630233,Nathan Knight,Nathan,1610612750,MIN,24.0,37,22,15,0.595,7.2,1.2,2.4,0.511,0.1,0.4,0.308,1.2,1.6,0.733,0.9,1.4,2.3,0.6,0.5,0.2,0.2,0.3,1.1,1.2,3.7,0.6,8.1,1,0,7.5,13,13,14,5,14,13,13,5,15,15,12,6,8,11,7,12,11,15,13,15,11,10,11,8,13,10,13,7,2,13,2021-22,5.193181818181818,82,253,3.6,0.07675675675675675,105.5,101.9,0.121,0.203,580,0.04,F-C
32,1629675,Naz Reid,Naz,1610612750,MIN,22.0,77,42,35,0.545,15.8,3.0,6.2,0.489,0.7,2.2,0.343,1.5,1.9,0.765,1.3,2.6,3.9,0.9,1.1,0.5,0.9,0.4,2.2,1.7,8.3,-1.2,17.6,4,0,16.7,2,3,1,14,10,9,8,6,9,9,7,5,5,8,4,8,7,12,7,12,3,6,7,6,8,16,9,4,2,9,2021-22,10.163865546218487,81,264,-2.4,0.07077922077922078,105.5,107.9,0.103,0.209,2616,0.059,C-F
33,201976,Patrick Beverley,Patrick,1610612750,MIN,33.0,58,33,25,0.569,25.4,3.1,7.5,0.406,1.4,4.2,0.343,1.7,2.3,0.722,1.1,3.1,4.1,4.6,1.3,1.2,0.9,0.4,3.0,2.5,9.2,1.9,26.0,2,0,23.5,11,11,11,12,5,8,6,14,5,5,8,4,4,13,6,6,6,2,5,3,4,9,3,4,6,5,5,6,2,4,2021-22,16.126146788990827,73,180,3.7,0.05293103448275862,113.6,109.8,0.094,0.158,3105,0.078,G
34,1627752,Taurean Prince,Taurean,1610612750,MIN,28.0,69,40,29,0.58,17.1,2.6,5.7,0.454,1.2,3.3,0.376,0.9,1.2,0.756,0.4,2.1,2.5,1.0,0.8,0.7,0.3,0.2,1.7,1.2,7.3,-0.1,14.1,0,0,14.1,7,5,7,10,9,11,9,9,6,7,5,9,10,9,12,10,10,11,9,9,9,14,9,10,9,13,11,9,2,11,2021-22,16.66923076923077,78,218,0.7,0.04492753623188406,111.6,110.9,0.076,0.166,2553,0.049,F
35,1630162,Anthony Edwards,Anthony,1610612750,MIN,19.0,72,23,49,0.319,32.1,7.0,16.8,0.417,2.4,7.2,0.329,2.9,3.8,0.776,0.8,3.8,4.7,2.9,2.2,1.1,0.5,0.9,1.8,2.6,19.3,-3.2,32.0,3,0,32.6,1,1,1,6,3,3,2,11,4,3,8,2,2,6,9,3,4,5,3,2,6,2,8,3,3,11,3,4,1,3,2020-21,13.761354252683732,76,225,-5.0,0.06388888888888888,110.6,115.6,0.094,0.264,4961,0.048,G
36,1626156,D'Angelo Russell,D'Angelo,1610612750,MIN,25.0,42,16,26,0.381,28.5,6.7,15.5,0.431,2.9,7.4,0.387,2.7,3.5,0.765,0.4,2.3,2.6,5.8,2.7,1.1,0.4,0.4,1.6,3.3,19.0,-4.6,32.7,6,0,33.3,11,9,14,1,4,4,4,9,2,2,3,3,3,9,14,10,12,2,2,3,8,9,12,2,4,15,2,2,1,2,2020-21,17.375766871165645,76,193,-7.0,0.10261904761904761,109.7,116.8,0.114,0.283,2591,0.033,G
37,202334,Ed Davis,Ed,1610612750,MIN,32.0,23,5,18,0.217,13.0,0.8,1.9,0.432,0.0,0.0,0.0,0.4,0.5,0.833,2.0,3.0,5.0,0.9,0.3,0.6,0.6,0.3,2.4,0.5,2.1,-2.0,12.5,0,0,10.3,15,15,15,13,15,15,15,8,15,15,15,14,15,4,2,7,3,12,16,10,5,14,4,15,15,7,13,8,1,14,2020-21,1.5227272727272727,81,218,-7.6,0.16652173913043478,101.4,109.0,0.079,0.078,631,0.044,C-F
38,1630183,Jaden McDaniels,Jaden,1610612750,MIN,20.0,63,18,45,0.286,24.0,2.6,5.8,0.447,1.1,3.1,0.364,0.4,0.7,0.6,0.8,2.9,3.7,1.1,0.7,0.6,1.0,0.2,2.7,0.7,6.8,-1.6,16.7,0,0,15.7,5,7,4,9,6,8,8,5,6,8,4,15,13,14,8,9,8,9,10,11,3,15,2,14,9,5,8,8,1,8,2020-21,15.53133514986376,81,185,-3.4,0.11888888888888889,109.6,113.1,0.05,0.118,3250,0.053,F
39,1627774,Jake Layman,Jake,1610612750,MIN,27.0,45,12,33,0.267,13.9,2.0,4.1,0.495,0.5,1.7,0.295,0.6,0.8,0.703,0.3,1.2,1.5,0.6,0.6,0.6,0.4,0.4,1.0,0.7,5.1,-1.8,10.5,0,0,9.9,10,11,8,11,14,12,13,3,11,12,11,12,12,10,15,15,15,15,13,9,9,13,14,13,13,6,15,8,1,15,2020-21,12.179347826086957,80,209,-5.8,0.06133333333333333,101.5,107.3,0.074,0.147,1360,0.055,F
